Matchday;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HC;AC;HF;AF;HY;AY;HR;AR
19;201217;Lille;Nice;1;1;D;0;1;A;5;8;1;3;3;4;18;11;2;4;0;0
19;201217;Marseille;Troyes;3;1;H;1;1;D;20;8;8;3;8;2;11;13;1;0;0;0
19;201217;Metz;Strasbourg;3;0;H;0;0;D;26;7;9;2;10;8;17;13;4;1;0;0
19;201217;Monaco;Rennes;2;1;H;1;0;H;14;8;4;2;8;1;21;19;3;2;0;0
19;201217;Paris SG;Caen;3;1;H;1;0;H;21;9;7;4;5;6;7;12;2;2;0;0
19;201217;Toulouse;Lyon;1;2;A;0;1;A;17;14;5;10;8;4;16;11;3;2;0;0
20;120118;Strasbourg;Guingamp;0;2;A;0;2;A;14;10;3;5;7;7;14;14;1;2;0;0
20;130118;Caen;Lille;0;1;A;0;1;A;15;12;7;5;5;3;15;11;3;3;1;1
20;130118;Dijon;Metz;1;1;D;1;0;H;12;12;7;6;6;7;10;15;2;2;1;0
20;130118;Montpellier;Monaco;0;0;D;0;0;D;16;13;4;6;10;6;15;10;5;1;0;0
20;130118;Nice;Amiens;1;0;H;0;0;D;20;9;7;3;7;1;10;13;1;0;0;0
20;130118;Rennes;Marseille;0;3;A;0;2;A;13;18;3;5;3;2;8;18;1;2;0;0
20;130118;Troyes;Bordeaux;0;1;A;0;1;A;8;10;3;4;2;2;15;13;4;0;0;0
20;140118;Lyon;Angers;1;1;D;0;1;A;19;9;7;2;12;1;11;18;2;4;0;1
20;140118;Nantes;Paris SG;0;1;A;0;1;A;13;20;3;3;2;5;17;11;3;2;1;0
20;140118;St Etienne;Toulouse;2;0;H;1;0;H;11;19;5;8;4;10;14;22;1;3;0;0
21;160118;Bordeaux;Caen;0;2;A;0;0;D;13;10;5;3;7;2;13;12;3;5;1;0
21;160118;Marseille;Strasbourg;2;0;H;0;0;D;15;4;7;2;7;4;6;15;2;3;0;0
21;160118;Monaco;Nice;2;2;D;1;0;H;6;9;3;5;6;3;10;12;4;4;0;0
21;170118;Amiens;Montpellier;1;1;D;0;1;A;13;16;3;5;2;3;10;6;2;1;0;0
21;170118;Angers;Troyes;3;1;H;1;0;H;12;8;5;2;8;2;15;17;0;5;0;0
21;170118;Guingamp;Lyon;0;2;A;0;1;A;8;21;3;13;3;11;20;16;2;2;0;0
21;170118;Lille;Rennes;1;2;A;1;0;H;11;22;3;12;2;9;15;4;1;0;0;0
21;170118;Metz;St Etienne;3;0;H;2;0;H;19;7;12;4;6;3;14;11;1;4;0;1
21;170118;Paris SG;Dijon;8;0;H;4;0;H;23;6;14;1;9;4;8;16;0;1;0;0
21;170118;Toulouse;Nantes;1;1;D;0;1;A;15;11;3;2;3;2;17;16;2;4;0;0
22;190118;Caen;Marseille;0;2;A;0;0;D;5;12;2;4;1;4;18;15;2;3;0;0
22;200118;Amiens;Guingamp;3;1;H;1;1;D;13;6;6;1;7;3;9;11;0;2;0;0
22;200118;Montpellier;Toulouse;2;1;H;1;1;D;22;9;5;3;5;4;18;13;1;4;0;1
22;200118;Nantes;Bordeaux;0;1;A;0;1;A;14;9;4;3;3;5;19;11;1;2;0;0
22;200118;Rennes;Angers;1;0;H;0;0;D;9;9;2;3;5;4;13;17;3;5;0;1
22;200118;Strasbourg;Dijon;3;2;H;2;2;D;16;12;9;5;5;1;17;22;1;1;0;0
22;200118;Troyes;Lille;1;0;H;1;0;H;7;9;2;1;5;6;13;10;0;2;0;0
22;210118;Lyon;Paris SG;2;1;H;1;1;D;11;11;6;3;3;7;16;11;2;3;0;1
22;210118;Monaco;Metz;3;1;H;1;0;H;13;3;6;2;6;3;11;15;1;1;0;1
22;210118;Nice;St Etienne;1;0;H;1;0;H;7;9;2;2;4;4;15;23;3;1;0;0
23;260118;Dijon;Rennes;2;1;H;1;1;D;14;13;4;4;3;5;10;17;3;2;0;0
23;270118;Angers;Amiens;1;0;H;1;0;H;16;3;7;0;5;4;14;19;1;3;0;0
23;270118;Guingamp;Nantes;0;3;A;0;0;D;6;13;0;5;3;9;9;17;2;3;0;0
23;270118;Metz;Nice;2;1;H;0;0;D;15;13;5;5;4;2;26;19;4;5;0;1
23;270118;Paris SG;Montpellier;4;0;H;2;0;H;11;16;7;3;2;10;16;11;1;2;0;0
23;270118;St Etienne;Caen;2;1;H;1;1;D;12;14;4;3;3;8;12;17;2;1;0;0
23;270118;Toulouse;Troyes;1;0;H;1;0;H;20;1;7;0;6;2;11;15;1;4;0;1
23;280118;Bordeaux;Lyon;3;1;H;3;1;H;9;9;4;4;2;1;17;12;3;3;1;0
23;280118;Lille;Strasbourg;2;1;H;0;0;D;8;11;5;2;6;2;5;11;1;1;0;0
23;280118;Marseille;Monaco;2;2;D;1;1;D;17;9;6;3;5;7;20;15;3;2;0;0
24;020218;Marseille;Metz;6;3;H;3;0;H;18;18;10;8;3;5;9;17;1;0;0;0
24;030218;Amiens;St Etienne;0;2;A;0;0;D;8;16;0;8;3;4;10;16;2;1;0;0
24;030218;Lille;Paris SG;0;3;A;0;1;A;10;19;3;9;3;9;11;4;1;1;0;0
24;030218;Montpellier;Angers;2;1;H;1;1;D;8;8;3;2;5;1;10;10;0;2;0;0
24;030218;Nice;Toulouse;0;1;A;0;0;D;14;6;2;1;11;1;14;13;2;2;0;0
24;030218;Strasbourg;Bordeaux;0;2;A;0;1;A;9;7;0;4;7;2;13;15;1;4;0;0
24;040218;Caen;Nantes;3;2;H;1;1;D;16;14;7;4;6;4;11;9;1;2;0;0
24;040218;Monaco;Lyon;3;2;H;2;2;D;12;13;7;4;3;7;18;15;3;3;1;0
24;040218;Rennes;Guingamp;0;1;A;0;0;D;13;11;5;4;4;4;20;12;2;4;0;0
25;090218;St Etienne;Marseille;2;2;D;1;2;A;7;12;3;4;2;7;12;12;0;0;0;0
25;100218;Angers;Monaco;0;4;A;0;2;A;11;10;1;6;4;3;11;6;1;0;0;0
25;100218;Bordeaux;Amiens;3;2;H;2;0;H;14;19;4;6;7;11;11;13;0;1;0;0
25;100218;Dijon;Nice;3;2;H;0;0;D;11;14;3;5;4;8;14;14;2;3;0;0
25;100218;Guingamp;Caen;0;0;D;0;0;D;6;12;1;2;1;7;12;17;1;2;0;0
25;100218;Metz;Montpellier;0;1;A;0;1;A;12;16;5;8;11;6;15;11;2;1;0;0
25;100218;Toulouse;Paris SG;0;1;A;0;0;D;3;21;1;6;0;10;20;13;4;2;0;0
25;110218;Lyon;Rennes;0;2;A;0;1;A;19;6;6;3;10;1;16;8;2;1;0;0
25;110218;Nantes;Lille;2;2;D;1;0;H;20;7;6;4;5;7;9;11;0;1;0;0
25;110218;Strasbourg;Troyes;2;1;H;0;0;D;12;12;2;4;4;6;9;14;2;2;0;0
26;160218;Monaco;Dijon;4;0;H;1;0;H;14;7;5;4;5;5;11;13;2;1;0;0
26;170218;Amiens;Toulouse;0;0;D;0;0;D;6;12;1;5;2;6;11;15;1;0;1;0
26;170218;Angers;St Etienne;0;1;A;0;0;D;19;10;4;3;10;5;14;14;1;2;0;0
26;170218;Caen;Rennes;2;2;D;1;2;A;18;11;6;5;12;11;4;8;2;0;0;0
26;170218;Montpellier;Guingamp;1;1;D;0;1;A;19;4;5;1;4;2;8;15;1;1;0;0
26;170218;Paris SG;Strasbourg;5;2;H;3;1;H;20;12;11;2;4;6;9;15;2;3;0;0
26;170218;Troyes;Metz;1;0;H;0;0;D;18;10;9;4;10;4;9;9;1;2;0;0
26;180218;Lille;Lyon;2;2;D;0;2;A;14;13;5;5;7;3;12;9;0;4;0;0
26;180218;Marseille;Bordeaux;1;0;H;1;0;H;12;5;8;1;7;4;11;12;2;2;0;0
26;180218;Nice;Nantes;1;1;D;1;1;D;12;9;4;3;14;4;13;9;2;0;0;0
24;200218;Troyes;Dijon;0;0;D;0;0;D;9;7;3;1;8;6;15;12;2;1;0;0
27;230218;Strasbourg;Montpellier;0;0;D;0;0;D;11;8;3;2;4;3;17;11;2;3;0;0
27;240218;Dijon;Caen;2;0;H;1;0;H;13;13;3;2;5;8;6;16;1;4;0;0
27;240218;Guingamp;Metz;2;2;D;1;1;D;17;5;8;2;5;5;15;16;3;4;0;0
27;240218;Lille;Angers;1;2;A;0;0;D;14;14;3;9;4;5;12;11;0;2;0;0
27;240218;Nantes;Amiens;0;1;A;0;1;A;27;8;4;1;8;6;10;16;2;2;0;0
27;240218;Rennes;Troyes;2;0;H;0;0;D;11;8;6;0;5;5;9;11;3;1;0;1
27;240218;Toulouse;Monaco;3;3;D;1;1;D;9;9;6;5;6;6;13;15;1;3;0;0
